poke1,form1,poke2,form2,poke3,form3,poke4,form4,poke5,form5,poke6,form6,label
890,0,797,0,892,1,199,1,630,0,195,0,1
898,2,812,0,892,1,645,1,233,0,468,0,1
717,0,450,0,199,1,598,0,892,1,555,2,1
898,2,645,1,145,0,892,1,233,0,598,0,1
890,0,59,0,892,1,145,0,815,0,530,0,1
898,2,248,0,892,1,145,0,598,0,473,0,1
898,2,892,1,645,1,233,0,598,0,785,0,1
717,0,681,0,450,0,793,0,892,1,485,0,1
898,2,892,1,785,0,645,1,485,0,132,0,1
898,2,645,1,892,1,212,0,786,0,630,0,1
716,0,637,0,804,0,645,1,892,1,861,0,1
898,2,630,0,892,1,785,0,645,1,485,0,1
898,2,645,1,892,1,630,0,785,0,485,0,1
898,2,630,0,804,0,785,0,645,1,892,1,1
888,0,892,1,637,0,199,1,195,0,233,0,1
888,0,645,1,479,5,804,0,892,1,861,0,1
898,2,892,1,145,0,645,1,812,0,485,0,1
898,2,145,0,630,0,598,0,892,1,645,1,1
890,0,892,1,645,1,598,0,730,0,765,0,1
898,2,598,0,473,0,145,0,892,1,248,0,1
706,0,145,0,473,0,892,1,700,0,748,0,1
145,0,892,1,645,1,788,0,233,0,199,1,1
887,0,38,1,145,0,892,1,233,0,645,1,1
473,0,145,0,892,1,149,0,793,0,598,0,1
145,0,473,0,598,0,892,1,65,0,887,0,1
145,0,892,1,645,1,788,0,199,1,233,0,1
897,0,786,0,778,0,892,1,474,0,260,0,1
145,0,892,1,887,0,260,0,485,0,778,0,1
145,0,892,1,233,0,815,0,786,0,530,0,1
887,0,450,0,793,0,598,0,892,1,145,0,1
887,0,260,0,793,0,145,0,778,0,892,1,1
892,1,645,1,199,1,145,0,233,0,778,0,1
642,1,892,1,149,0,233,0,36,0,797,0,1
584,0,881,0,149,0,892,1,462,0,464,0,1
861,0,855,0,892,1,145,0,798,0,645,1,1
892,1,233,0,145,0,462,0,887,0,645,1,1
645,1,233,0,892,1,887,0,797,0,199,1,1
450,0,145,0,887,0,892,1,793,0,748,0,1
